name	AAs	terminus	labelAtoms	formula	losses	id	monoMass	structural	shortName	hidden	type
Carbamidomethyl (C)	C		None	H3C2NO		4	57.021464	TRUE	CAM	FALSE	default
Ammonia Loss (K, N, Q, R)	K, N, Q, R		None		NH3		-17.026549	TRUE		FALSE	hardcoded
Water Loss (D, E, S, T)	D, E, S, T		None		H2O		-18.010565	TRUE		FALSE	hardcoded
Label:15N			N15				1.003354838	FALSE		FALSE	hardcoded
Label:13C			C13				1.003354838	FALSE		FALSE	hardcoded
Label:13C15N			C13N15				2.006709676	FALSE		FALSE	hardcoded
Label:13C(6)15N(2) (C-term K)	K	C	C13|N15				8.014199	FALSE		FALSE	hardcoded
Label:13C(6)15N(4) (C-term R)	R	C	C13|N15				10.008269	FALSE		FALSE	hardcoded
Label:13C(6) (C-term K)	K	C	C13				6.020129	FALSE		FALSE	hardcoded
Label:13C(6) (C-term R)	R	C	C13				6.020129	FALSE		FALSE	hardcoded
6C-CysPAT (C)	C		None	H16C8NO4P		2057	221.081695	true		false	non_hardcoded
6C-CysPAT (N-term)		N	None	H16C8NO4P		2057	221.081695	true		false	non_hardcoded
Acetyl (K)	K		None	C2H2O		1	42.010565	true	1Ac	false	non_hardcoded
Acetyl (N-term)		N	None	C2H2O		1	42.010565	true	1Ac	false	non_hardcoded
Amidated (C-term)		C	None	HN - O		2	-0.984016	true	Ami	false	non_hardcoded
Ammonia-loss (N-term C)	C	N	None	-H3N		385	-17.026549	true	dAm	false	non_hardcoded
Carbamidomethyl (C)	C		None	H3C2NO		4	57.021464	true	CAM	false	non_hardcoded
Carbamidomethyl (N-term)		N	None	H3C2NO		4	57.021464	true	CAM	false	non_hardcoded
Carbamyl (K)	K		None	HCNO		5	43.005814	true	CRM	false	non_hardcoded
Carbamyl (N-term)		N	None	HCNO		5	43.005814	true	CRM	false	non_hardcoded
Carboxymethyl (C)	C		None	C2H2O2		6	58.005479	true	Cmc	false	non_hardcoded
Cation:Na (C-term)		C	None	Na - H		30	21.981943	true	NaX	false	non_hardcoded
Cation:Na (DE)	D, E		None	Na - H		30	21.981943	true	NaX	false	non_hardcoded
Deamidated (NQ)	N, Q		None	O - HN		7	0.984016	true	Dea	false	non_hardcoded
Dehydrated (N-term C)	C	N	None	-H2O		23	-18.010565	true	Dhy	false	non_hardcoded
Dehydro (C)	C		None	-H		374	-1.007825	true	-1H	false	non_hardcoded
